iter	Passed	Remaining
0	174	523510
1	194	291917
2	225	225071
3	244	182902
4	263	157947
5	282	140891
6	304	130249
7	337	126118
8	355	118183
9	374	112003
10	393	107015
11	417	103894
12	454	104332
13	475	101484
14	503	100195
15	527	98300
16	549	96391
17	575	95333
18	609	95661
19	633	94366
20	659	93574
21	682	92370
22	714	92470
23	734	91036
24	753	89705
25	773	88461
26	794	87487
27	830	88160
28	849	86984
29	866	85813
30	886	84865
31	906	84122
32	938	84401
33	956	83457
34	975	82612
35	993	81827
36	1015	81302
37	1040	81116
38	1075	81637
39	1098	81253
40	1122	81019
41	1157	81509
42	1178	81055
43	1201	80690
44	1223	80369
45	1245	80006
46	1270	79822
47	1290	79361
48	1312	79031
49	1334	78752
50	1355	78401
51	1378	78167
52	1402	77986
53	1424	77688
54	1461	78270
55	1488	78253
56	1512	78092
57	1536	77933
58	1559	77736
59	1583	77606
60	1606	77379
61	1630	77250
62	1654	77133
63	1691	77615
64	1716	77517
65	1738	77286
66	1763	77207
67	1785	76974
68	1810	76915
69	1843	77156
70	1865	76958
71	1897	77155
72	1916	76847
73	1945	76907
74	1963	76563
75	1991	76611
76	2008	76250
77	2021	75712
78	2033	75170
79	2048	74787
80	2064	74382
81	2075	73843
82	2089	73439
83	2106	73110
84	2114	72524
85	2124	71985
86	2132	71418
87	2143	70934
88	2155	70498
89	2164	70000
90	2174	69510
91	2183	69020
92	2194	68591
93	2206	68206
94	2214	67726
95	2224	67280
96	2233	66839
97	2242	66405
98	2251	65989
99	2260	65562
100	2270	65163
101	2278	64748
102	2288	64353
103	2297	63967
104	2307	63628
105	2320	63349
106	2328	62961
107	2337	62599
108	2346	62227
109	2355	61878

112	1903	48620
113	1919	48597
114	1935	48553
115	1948	48437
116	1957	48230
117	1979	48357
118	1991	48216
4650
121	1468	34649
122	1477	34554
123	1486	34485
124	1497	34446
125	1508	34416
126	1519	34383
127	1531	34362
128	1541	34301
129	1551	34255
130	1562	34216
131	1570	34129
132	1581	34081
133	1590	34011
134	1601	33977
135	1612	33965
136	1622	33905
137	1646	34136
138	1657	34109
139	1667	34061
140	1678	34040
141	1689	34014
142	1701	34000
143	1712	33954
144	1722	33917
145	1732	33868
146	1741	33801
147	1754	33804
148	1764	33757
149	1786	33944
150	1794	33848
151	1804	33813
152	1813	33752
153	1823	33698
154	1844	33847
155	1855	33822
